grid,P_MDV_UVA,P_MDV_UVB,P_chamber_UVA,P_chamber_UVB,UVA_factor,UVB_factor
1,3.859,0.078,2.787,0.553,1.385,0.141
1,3.859,0.078,2.787,0.553,1.385,0.141
1,3.859,0.078,2.787,0.553,1.385,0.141
1,3.859,0.078,2.787,0.553,1.385,0.141
2,3.859,0.078,3.185,0.707,1.212,0.110
2,3.859,0.078,3.185,0.707,1.212,0.110
2,3.859,0.078,3.185,0.707,1.212,0.110
2,3.859,0.078,3.185,0.707,1.212,0.110
3,3.859,0.078,2.488,0.768,1.551,0.101
3,3.859,0.078,2.488,0.768,1.551,0.101
3,3.859,0.078,2.488,0.768,1.551,0.101
3,3.859,0.078,2.488,0.768,1.551,0.101
4,3.859,0.078,2.140,0.707,1.803,0.110
4,3.859,0.078,2.140,0.707,1.803,0.110
4,3.859,0.078,2.140,0.707,1.803,0.110
4,3.859,0.078,2.140,0.707,1.803,0.110
5,3.859,0.078,1.692,0.584,2.281,0.133
5,3.859,0.078,1.692,0.584,2.281,0.133
5,3.859,0.078,1.692,0.584,2.281,0.133
5,3.859,0.078,1.692,0.584,2.281,0.133
6,3.859,0.078,1.344,0.461,2.872,0.169
6,3.859,0.078,1.344,0.461,2.872,0.169
6,3.859,0.078,1.344,0.461,2.872,0.169
6,3.859,0.078,1.344,0.461,2.872,0.169
7,3.859,0.078,1.095,0.338,3.525,0.230
7,3.859,0.078,1.095,0.338,3.525,0.230
7,3.859,0.078,1.095,0.338,3.525,0.230
7,3.859,0.078,1.095,0.338,3.525,0.230
8,3.859,0.078,0.846,0.246,4.562,0.317
8,3.859,0.078,0.846,0.246,4.562,0.317
8,3.859,0.078,0.846,0.246,4.562,0.317
8,3.859,0.078,0.846,0.246,4.562,0.317
9,3.859,0.078,0.647,0.246,5.965,0.317
9,3.859,0.078,0.647,0.246,5.965,0.317
9,3.859,0.078,0.647,0.246,5.965,0.317
9,3.859,0.078,0.647,0.246,5.965,0.317
10,3.859,0.078,0.547,0.154,7.050,0.507
10,3.859,0.078,0.547,0.154,7.050,0.507
10,3.859,0.078,0.547,0.154,7.050,0.507
10,3.859,0.078,0.547,0.154,7.050,0.507
