grid,distance_mm,theta_deg,hyp_mm,irr_corr_mW_cm2,lower_mW_cm2,upper_mW_cm2
1,45.0,16.305768423345732,158.42845653834203,2.7866983372921617,2.6473634204275536,2.92603325415677
2,115.0,36.994411260595776,190.05570106609548,3.184798099762471,3.025558194774347,3.3440380047505944
3,185.0,50.65496623701011,238.69344000294592,2.48812351543943,2.3637173396674585,2.6125296912114018
4,255.0,59.355033964834405,296.1191039201457,2.13978622327791,2.0327969121140144,2.246775534441805
5,325.0,65.11817915463692,358.09942595908194,1.6919239904988124,1.607327790973872,1.7765201900237533
6,395.0,69.13913818976823,422.6156789865489,1.3435866983372922,1.2764073634204276,1.410766033254157
7,465.0,72.07738218512003,488.6553454897683,1.0947743467933493,1.0400356294536817,1.1495130641330167
8,535.0,74.30769026839462,555.6713380127551,0.8459619952494063,0.803663895486936,0.8882600950118766
9,605.0,76.05366773984817,623.3468131888467,0.6469121140142517,0.6145665083135392,0.6792577197149644
10,675.0,77.4553130655357,691.4871281850671,0.5473871733966746,0.5200178147268408,0.5747565320665083
