grid_id,uva_hours,uvb_hours,p_uva_mw_cm2,p_uvb_mw_cm2,uva_dose_mJ_cm2,uvb_dose_mJ_cm2,mdv_uva_percent,mdv_uvb_percent
1,24.0,1.065625,2.787,0.553,240.79680000000002,2.1214462500000004,122.93238057430196,72.00520833333334
2,24.0,1.065625,3.185,0.707,275.184,2.71222875,140.4878479114287,92.05729166666666
3,24.0,1.065625,2.488,0.768,214.9632,2.9462400000000004,109.74372546424948,100.0
4,24.0,1.065625,2.14,0.707,184.896,2.71222875,94.39371884786732,92.05729166666666
5,24.0,1.065625,1.692,0.584,146.1888,2.24037,74.63279078999602,76.04166666666667
6,24.0,1.065625,1.344,0.461,116.1216,1.7685112500000002,59.28278417361387,60.02604166666667
7,24.0,1.065625,1.095,0.338,94.608,1.2966525000000002,48.299589784305944,44.01041666666667
8,24.0,1.065625,0.846,0.246,73.0944,0.9437175000000001,37.31639539499801,32.03125
9,24.0,1.065625,0.647,0.246,55.900800000000004,0.9437175000000001,28.53866172643465,32.03125
10,24.0,1.065625,0.547,0.154,47.2608,0.5907825,24.127740284945524,20.052083333333332
