sample_id,sample_category,analyte,spectrum_state,wavelength_nm,intensity_abs
Blank 1,blank,Scytonemin,blank,193.9,704.0
Blank 1,blank,Scytonemin,blank,194.9,185.0
Blank 1,blank,Scytonemin,blank,197.9,2044.0
Blank 1,blank,Scytonemin,blank,198.9,3003.0
Blank 1,blank,Scytonemin,blank,199.9,4344.0
Blank 1,blank,Scytonemin,blank,200.9,4488.0
Blank 1,blank,Scytonemin,blank,201.9,4619.0
Blank 1,blank,Scytonemin,blank,202.9,4566.0
Blank 1,blank,Scytonemin,blank,203.9,4417.0
Blank 1,blank,Scytonemin,blank,204.9,4229.0
Blank 1,blank,Scytonemin,blank,205.9,4127.0
Blank 1,blank,Scytonemin,blank,206.9,3963.0
Blank 1,blank,Scytonemin,blank,207.9,3829.0
Blank 1,blank,Scytonemin,blank,208.9,3681.0
Blank 1,blank,Scytonemin,blank,209.9,3546.0
Blank 1,blank,Scytonemin,blank,210.9,3409.0
Blank 1,blank,Scytonemin,blank,211.9,3256.0
Blank 1,blank,Scytonemin,blank,212.9,3094.0
Blank 1,blank,Scytonemin,blank,213.9,2960.0
Blank 1,blank,Scytonemin,blank,214.9,2799.0
Blank 1,blank,Scytonemin,blank,215.9,2664.0
Blank 1,blank,Scytonemin,blank,216.9,2554.0
Blank 1,blank,Scytonemin,blank,217.9,2426.0
Blank 1,blank,Scytonemin,blank,218.9,2268.0
Blank 1,blank,Scytonemin,blank,219.9,2161.0
Blank 1,blank,Scytonemin,blank,220.9,2046.0
Blank 1,blank,Scytonemin,blank,221.9,1952.0
Blank 1,blank,Scytonemin,blank,222.9,1839.0
Blank 1,blank,Scytonemin,blank,223.9,1706.0
Blank 1,blank,Scytonemin,blank,224.9,1596.0
Blank 1,blank,Scytonemin,blank,225.9,1498.0
Blank 1,blank,Scytonemin,blank,226.9,1400.0
Blank 1,blank,Scytonemin,blank,227.9,1322.0
Blank 1,blank,Scytonemin,blank,228.9,1212.0
Blank 1,blank,Scytonemin,blank,229.9,1110.0
Blank 1,blank,Scytonemin,blank,230.9,1002.0
Blank 1,blank,Scytonemin,blank,231.9,944.0
Blank 1,blank,Scytonemin,blank,232.9,858.0
Blank 1,blank,Scytonemin,blank,233.9,791.0
Blank 1,blank,Scytonemin,blank,234.9,735.0
Blank 1,blank,Scytonemin,blank,235.9,667.0
Blank 1,blank,Scytonemin,blank,236.9,623.0
Blank 1,blank,Scytonemin,blank,237.9,575.0
Blank 1,blank,Scytonemin,blank,238.9,524.0
Blank 1,blank,Scytonemin,blank,239.9,486.0
Blank 1,blank,Scytonemin,blank,240.9,448.0
Blank 1,blank,Scytonemin,blank,241.9,424.0
Blank 1,blank,Scytonemin,blank,242.9,391.0
Blank 1,blank,Scytonemin,blank,243.9,374.0
Blank 1,blank,Scytonemin,blank,244.9,330.0
Blank 1,blank,Scytonemin,blank,245.9,309.0
Blank 1,blank,Scytonemin,blank,246.9,293.0
Blank 1,blank,Scytonemin,blank,247.9,287.0
Blank 1,blank,Scytonemin,blank,248.9,280.0
Blank 1,blank,Scytonemin,blank,249.9,261.0
Blank 1,blank,Scytonemin,blank,250.9,234.0
Blank 1,blank,Scytonemin,blank,251.9,199.0
Blank 1,blank,Scytonemin,blank,252.9,190.0
Blank 1,blank,Scytonemin,blank,253.9,172.0
Blank 1,blank,Scytonemin,blank,254.9,147.0
Blank 1,blank,Scytonemin,blank,255.9,138.0
Blank 1,blank,Scytonemin,blank,256.9,154.0
Blank 1,blank,Scytonemin,blank,257.9,148.0
Blank 1,blank,Scytonemin,blank,258.9,129.0
Blank 1,blank,Scytonemin,blank,259.9,104.0
Blank 1,blank,Scytonemin,blank,260.9,105.0
Blank 1,blank,Scytonemin,blank,261.9,114.0
Blank 1,blank,Scytonemin,blank,262.9,106.0
Blank 1,blank,Scytonemin,blank,263.9,97.0
Blank 1,blank,Scytonemin,blank,264.9,111.0
Blank 1,blank,Scytonemin,blank,265.9,119.0
Blank 1,blank,Scytonemin,blank,266.9,129.0
Blank 1,blank,Scytonemin,blank,267.9,150.0
Blank 1,blank,Scytonemin,blank,268.9,162.0
Blank 1,blank,Scytonemin,blank,269.9,157.0
Blank 1,blank,Scytonemin,blank,270.9,177.0
Blank 1,blank,Scytonemin,blank,271.9,194.0
Blank 1,blank,Scytonemin,blank,272.9,224.0
Blank 1,blank,Scytonemin,blank,273.9,221.0
Blank 1,blank,Scytonemin,blank,274.9,243.0
Blank 1,blank,Scytonemin,blank,275.9,249.0
Blank 1,blank,Scytonemin,blank,276.9,261.0
Blank 1,blank,Scytonemin,blank,277.9,277.0
Blank 1,blank,Scytonemin,blank,278.9,330.0
Blank 1,blank,Scytonemin,blank,279.9,357.0
Blank 1,blank,Scytonemin,blank,280.9,348.0
Blank 1,blank,Scytonemin,blank,281.9,341.0
Blank 1,blank,Scytonemin,blank,282.9,320.0
Blank 1,blank,Scytonemin,blank,283.9,318.0
Blank 1,blank,Scytonemin,blank,284.9,308.0
Blank 1,blank,Scytonemin,blank,285.9,283.0
Blank 1,blank,Scytonemin,blank,286.9,276.0
Blank 1,blank,Scytonemin,blank,287.9,268.0
Blank 1,blank,Scytonemin,blank,288.9,267.0
Blank 1,blank,Scytonemin,blank,289.9,279.0
Blank 1,blank,Scytonemin,blank,290.9,269.0
Blank 1,blank,Scytonemin,blank,291.9,253.0
Blank 1,blank,Scytonemin,blank,292.9,225.0
Blank 1,blank,Scytonemin,blank,293.9,180.0
Blank 1,blank,Scytonemin,blank,294.9,170.0
Blank 1,blank,Scytonemin,blank,295.9,158.0
Blank 1,blank,Scytonemin,blank,296.9,137.0
Blank 1,blank,Scytonemin,blank,297.9,120.0
Blank 1,blank,Scytonemin,blank,298.9,115.0
Blank 1,blank,Scytonemin,blank,299.9,119.0
Blank 1,blank,Scytonemin,blank,300.9,112.0
Blank 1,blank,Scytonemin,blank,301.9,102.0
Blank 1,blank,Scytonemin,blank,302.9,116.0
Blank 1,blank,Scytonemin,blank,303.9,105.0
Blank 1,blank,Scytonemin,blank,304.9,72.0
Blank 1,blank,Scytonemin,blank,305.9,55.0
Blank 1,blank,Scytonemin,blank,306.9,59.0
Blank 1,blank,Scytonemin,blank,307.9,51.0
Blank 1,blank,Scytonemin,blank,308.9,43.0
Blank 1,blank,Scytonemin,blank,309.9,32.0
Blank 1,blank,Scytonemin,blank,310.9,39.0
Blank 1,blank,Scytonemin,blank,311.9,57.0
Blank 1,blank,Scytonemin,blank,312.9,42.0
Blank 1,blank,Scytonemin,blank,313.9,31.0
Blank 1,blank,Scytonemin,blank,314.9,46.0
Blank 1,blank,Scytonemin,blank,315.9,40.0
Blank 1,blank,Scytonemin,blank,316.9,31.0
Blank 1,blank,Scytonemin,blank,317.9,54.0
Blank 1,blank,Scytonemin,blank,318.9,60.0
Blank 1,blank,Scytonemin,blank,319.9,49.0
Blank 1,blank,Scytonemin,blank,320.9,51.0
Blank 1,blank,Scytonemin,blank,321.9,51.0
Blank 1,blank,Scytonemin,blank,322.9,42.0
Blank 1,blank,Scytonemin,blank,323.9,62.0
Blank 1,blank,Scytonemin,blank,324.9,63.0
Blank 1,blank,Scytonemin,blank,325.9,49.0
Blank 1,blank,Scytonemin,blank,326.9,40.0
Blank 1,blank,Scytonemin,blank,327.9,41.0
Blank 1,blank,Scytonemin,blank,328.9,75.0
Blank 1,blank,Scytonemin,blank,329.9,54.0
Blank 1,blank,Scytonemin,blank,330.9,34.0
Blank 1,blank,Scytonemin,blank,331.9,47.0
Blank 1,blank,Scytonemin,blank,332.9,57.0
Blank 1,blank,Scytonemin,blank,333.9,49.0
Blank 1,blank,Scytonemin,blank,334.9,70.0
Blank 1,blank,Scytonemin,blank,335.9,103.0
Blank 1,blank,Scytonemin,blank,336.9,74.0
Blank 1,blank,Scytonemin,blank,337.9,72.0
Blank 1,blank,Scytonemin,blank,338.9,108.0
Blank 1,blank,Scytonemin,blank,339.9,144.0
Blank 1,blank,Scytonemin,blank,340.9,90.0
Blank 1,blank,Scytonemin,blank,341.9,99.0
Blank 1,blank,Scytonemin,blank,342.9,109.0
Blank 1,blank,Scytonemin,blank,343.9,107.0
Blank 1,blank,Scytonemin,blank,344.9,105.0
Blank 1,blank,Scytonemin,blank,345.9,131.0
Blank 1,blank,Scytonemin,blank,346.9,151.0
Blank 1,blank,Scytonemin,blank,347.9,150.0
Blank 1,blank,Scytonemin,blank,348.9,179.0
Blank 1,blank,Scytonemin,blank,349.9,166.0
Blank 1,blank,Scytonemin,blank,350.9,169.0
Blank 1,blank,Scytonemin,blank,351.9,206.0
Blank 1,blank,Scytonemin,blank,352.9,216.0
Blank 1,blank,Scytonemin,blank,353.9,195.0
Blank 1,blank,Scytonemin,blank,354.9,231.0
Blank 1,blank,Scytonemin,blank,355.9,250.0
Blank 1,blank,Scytonemin,blank,356.9,267.0
Blank 1,blank,Scytonemin,blank,357.9,295.0
Blank 1,blank,Scytonemin,blank,358.9,324.0
Blank 1,blank,Scytonemin,blank,359.9,314.0
Blank 1,blank,Scytonemin,blank,360.9,297.0
Blank 1,blank,Scytonemin,blank,361.9,339.0
Blank 1,blank,Scytonemin,blank,362.9,371.0
Blank 1,blank,Scytonemin,blank,363.9,372.0
Blank 1,blank,Scytonemin,blank,364.9,363.0
Blank 1,blank,Scytonemin,blank,365.9,381.0
Blank 1,blank,Scytonemin,blank,366.9,399.0
Blank 1,blank,Scytonemin,blank,367.9,415.0
Blank 1,blank,Scytonemin,blank,368.9,407.0
Blank 1,blank,Scytonemin,blank,369.9,451.0
Blank 1,blank,Scytonemin,blank,370.9,492.0
Blank 1,blank,Scytonemin,blank,371.9,501.0
Blank 1,blank,Scytonemin,blank,372.9,522.0
Blank 1,blank,Scytonemin,blank,373.9,577.0
Blank 1,blank,Scytonemin,blank,374.9,646.0
Blank 1,blank,Scytonemin,blank,375.9,675.0
Blank 1,blank,Scytonemin,blank,376.9,694.0
Blank 1,blank,Scytonemin,blank,377.9,685.0
Blank 1,blank,Scytonemin,blank,378.9,660.0
Blank 1,blank,Scytonemin,blank,379.9,661.0
Blank 1,blank,Scytonemin,blank,380.9,685.0
Blank 1,blank,Scytonemin,blank,381.9,684.0
Blank 1,blank,Scytonemin,blank,382.9,687.0
Blank 1,blank,Scytonemin,blank,383.9,706.0
Blank 1,blank,Scytonemin,blank,384.9,697.0
Blank 1,blank,Scytonemin,blank,385.9,728.0
Blank 1,blank,Scytonemin,blank,386.9,778.0
Blank 1,blank,Scytonemin,blank,387.9,784.0
Blank 1,blank,Scytonemin,blank,388.9,809.0
Blank 1,blank,Scytonemin,blank,389.9,838.0
Blank 1,blank,Scytonemin,blank,390.9,884.0
Blank 1,blank,Scytonemin,blank,391.9,948.0
Blank 1,blank,Scytonemin,blank,392.9,967.0
Blank 1,blank,Scytonemin,blank,393.9,971.0
Blank 1,blank,Scytonemin,blank,394.9,974.0
Blank 1,blank,Scytonemin,blank,395.9,982.0
Blank 1,blank,Scytonemin,blank,396.9,976.0
Blank 1,blank,Scytonemin,blank,397.9,966.0
Blank 1,blank,Scytonemin,blank,398.9,943.0
Blank 1,blank,Scytonemin,blank,399.9,934.0
Blank 1,blank,Scytonemin,blank,400.9,915.0
Blank 1,blank,Scytonemin,blank,401.9,902.0
Blank 1,blank,Scytonemin,blank,402.9,917.0
Blank 1,blank,Scytonemin,blank,403.9,920.0
Blank 1,blank,Scytonemin,blank,404.9,938.0
Blank 1,blank,Scytonemin,blank,405.9,970.0
Blank 1,blank,Scytonemin,blank,406.9,1000.0
Blank 1,blank,Scytonemin,blank,407.9,1046.0
Blank 1,blank,Scytonemin,blank,408.9,1106.0
Blank 1,blank,Scytonemin,blank,409.9,1156.0
Blank 1,blank,Scytonemin,blank,410.9,1182.0
Blank 1,blank,Scytonemin,blank,411.9,1223.0
Blank 1,blank,Scytonemin,blank,412.9,1235.0
Blank 1,blank,Scytonemin,blank,413.9,1235.0
Blank 1,blank,Scytonemin,blank,414.9,1240.0
Blank 1,blank,Scytonemin,blank,415.9,1241.0
Blank 1,blank,Scytonemin,blank,416.9,1233.0
Blank 1,blank,Scytonemin,blank,417.9,1207.0
Blank 1,blank,Scytonemin,blank,418.9,1151.0
Blank 1,blank,Scytonemin,blank,419.9,1118.0
Blank 1,blank,Scytonemin,blank,420.9,1098.0
Blank 1,blank,Scytonemin,blank,421.9,1106.0
Blank 1,blank,Scytonemin,blank,422.9,1073.0
Blank 1,blank,Scytonemin,blank,423.9,1064.0
Blank 1,blank,Scytonemin,blank,424.9,1074.0
Blank 1,blank,Scytonemin,blank,425.9,1080.0
Blank 1,blank,Scytonemin,blank,426.9,1108.0
Blank 1,blank,Scytonemin,blank,427.9,1142.0
Blank 1,blank,Scytonemin,blank,428.9,1181.0
Blank 1,blank,Scytonemin,blank,429.9,1197.0
Blank 1,blank,Scytonemin,blank,430.9,1254.0
Blank 1,blank,Scytonemin,blank,431.9,1274.0
Blank 1,blank,Scytonemin,blank,432.9,1310.0
Blank 1,blank,Scytonemin,blank,433.9,1344.0
Blank 1,blank,Scytonemin,blank,434.9,1373.0
Blank 1,blank,Scytonemin,blank,435.9,1363.0
Blank 1,blank,Scytonemin,blank,436.9,1355.0
Blank 1,blank,Scytonemin,blank,437.9,1354.0
Blank 1,blank,Scytonemin,blank,438.9,1361.0
Blank 1,blank,Scytonemin,blank,439.9,1337.0
Blank 1,blank,Scytonemin,blank,440.9,1316.0
Blank 1,blank,Scytonemin,blank,441.9,1250.0
Blank 1,blank,Scytonemin,blank,442.9,1221.0
Blank 1,blank,Scytonemin,blank,443.9,1239.0
Blank 1,blank,Scytonemin,blank,444.9,1208.0
Blank 1,blank,Scytonemin,blank,445.9,1179.0
Blank 1,blank,Scytonemin,blank,446.9,1155.0
Blank 1,blank,Scytonemin,blank,447.9,1165.0
Blank 1,blank,Scytonemin,blank,448.9,1179.0
Blank 1,blank,Scytonemin,blank,449.9,1189.0
Blank 1,blank,Scytonemin,blank,450.9,1216.0
Blank 1,blank,Scytonemin,blank,451.9,1213.0
Blank 1,blank,Scytonemin,blank,452.9,1223.0
Blank 1,blank,Scytonemin,blank,453.9,1250.0
Blank 1,blank,Scytonemin,blank,454.9,1305.0
Blank 1,blank,Scytonemin,blank,455.9,1345.0
Blank 1,blank,Scytonemin,blank,456.9,1380.0
Blank 1,blank,Scytonemin,blank,457.9,1380.0
Blank 1,blank,Scytonemin,blank,458.9,1385.0
Blank 1,blank,Scytonemin,blank,459.9,1369.0
Blank 1,blank,Scytonemin,blank,460.9,1365.0
Blank 1,blank,Scytonemin,blank,461.9,1373.0
Blank 1,blank,Scytonemin,blank,462.9,1346.0
Blank 1,blank,Scytonemin,blank,463.9,1304.0
Blank 1,blank,Scytonemin,blank,464.9,1289.0
Blank 1,blank,Scytonemin,blank,465.9,1266.0
Blank 1,blank,Scytonemin,blank,466.9,1237.0
Blank 1,blank,Scytonemin,blank,467.9,1186.0
Blank 1,blank,Scytonemin,blank,468.9,1146.0
Blank 1,blank,Scytonemin,blank,469.9,1122.0
Blank 1,blank,Scytonemin,blank,470.9,1161.0
Blank 1,blank,Scytonemin,blank,471.9,1173.0
Blank 1,blank,Scytonemin,blank,472.9,1127.0
Blank 1,blank,Scytonemin,blank,473.9,1141.0
Blank 1,blank,Scytonemin,blank,474.9,1186.0
Blank 1,blank,Scytonemin,blank,475.9,1188.0
Blank 1,blank,Scytonemin,blank,476.9,1197.0
Blank 1,blank,Scytonemin,blank,477.9,1196.0
Blank 1,blank,Scytonemin,blank,478.9,1242.0
Blank 1,blank,Scytonemin,blank,479.9,1282.0
Blank 1,blank,Scytonemin,blank,480.9,1270.0
Blank 1,blank,Scytonemin,blank,481.9,1281.0
Blank 1,blank,Scytonemin,blank,482.9,1302.0
Blank 1,blank,Scytonemin,blank,483.9,1353.0
Blank 1,blank,Scytonemin,blank,484.9,1516.0
Blank 1,blank,Scytonemin,blank,485.9,1204.0
Blank 1,blank,Scytonemin,blank,486.9,1193.0
Blank 1,blank,Scytonemin,blank,487.9,1300.0
Blank 1,blank,Scytonemin,blank,488.9,1284.0
Blank 1,blank,Scytonemin,blank,489.9,1239.0
Blank 1,blank,Scytonemin,blank,490.9,1238.0
Blank 1,blank,Scytonemin,blank,491.9,1270.0
Blank 1,blank,Scytonemin,blank,492.9,1164.0
Blank 1,blank,Scytonemin,blank,493.9,1109.0
Blank 1,blank,Scytonemin,blank,494.9,1149.0
Blank 1,blank,Scytonemin,blank,495.9,1129.0
Blank 1,blank,Scytonemin,blank,496.9,1139.0
Blank 1,blank,Scytonemin,blank,497.9,1148.0
Blank 1,blank,Scytonemin,blank,498.9,1101.0
Blank 2,blank,Scytonemin,blank,190.9,2209.0
Blank 2,blank,Scytonemin,blank,191.9,2867.0
Blank 2,blank,Scytonemin,blank,192.9,2389.0
Blank 2,blank,Scytonemin,blank,193.9,1488.0
Blank 2,blank,Scytonemin,blank,194.9,3565.0
Blank 2,blank,Scytonemin,blank,195.9,1382.0
Blank 2,blank,Scytonemin,blank,196.9,128.0
Blank 2,blank,Scytonemin,blank,197.9,71.0
Blank 2,blank,Scytonemin,blank,198.9,773.0
Blank 2,blank,Scytonemin,blank,199.9,1346.0
Blank 2,blank,Scytonemin,blank,200.9,2196.0
Blank 2,blank,Scytonemin,blank,201.9,3725.0
Blank 2,blank,Scytonemin,blank,202.9,4461.0
Blank 2,blank,Scytonemin,blank,203.9,4999.0
Blank 2,blank,Scytonemin,blank,204.9,5274.0
Blank 2,blank,Scytonemin,blank,205.9,5474.0
Blank 2,blank,Scytonemin,blank,206.9,5604.0
Blank 2,blank,Scytonemin,blank,207.9,5687.0
Blank 2,blank,Scytonemin,blank,208.9,5671.0
Blank 2,blank,Scytonemin,blank,209.9,5626.0
Blank 2,blank,Scytonemin,blank,210.9,5583.0
Blank 2,blank,Scytonemin,blank,211.9,5488.0
Blank 2,blank,Scytonemin,blank,212.9,5342.0
Blank 2,blank,Scytonemin,blank,213.9,5223.0
Blank 2,blank,Scytonemin,blank,214.9,5100.0
Blank 2,blank,Scytonemin,blank,215.9,4979.0
Blank 2,blank,Scytonemin,blank,216.9,4826.0
Blank 2,blank,Scytonemin,blank,217.9,4669.0
Blank 2,blank,Scytonemin,blank,218.9,4532.0
Blank 2,blank,Scytonemin,blank,219.9,4403.0
Blank 2,blank,Scytonemin,blank,220.9,4258.0
Blank 2,blank,Scytonemin,blank,221.9,4099.0
Blank 2,blank,Scytonemin,blank,222.9,3962.0
Blank 2,blank,Scytonemin,blank,223.9,3839.0
Blank 2,blank,Scytonemin,blank,224.9,3723.0
Blank 2,blank,Scytonemin,blank,225.9,3585.0
