dose_id,uva_mw_cm2,uvb_mw_cm2,kind,mean_reflectance,median_reflectance,min_reflectance,max_reflectance,area_reflectance,std_reflectance,range_reflectance,mean_std,median_std,mean_mad,median_mad,samples,trim_fraction
dose_1,0.0,0.0,12Oclock,0.1414225365748538,0.1441913545131683,0.0916011234124501,0.160860593120257,18.52635229130585,0.0139918310463561,0.0692594697078069,0.008403188136725,0.0084447496755014,0.004314140509103,0.0034705847501754,3,0.2
dose_1,0.0,0.0,6Oclock,0.1671465750755244,0.1701603233814238,0.1130212768912315,0.1859238843123118,21.896201334893696,0.0140869498572742,0.0729026074210803,0.07226475733066,0.0705103519078721,0.0445129884165206,0.0451214909553528,3,0.2
dose_2,0.647,0.246,12Oclock,0.0901306484833017,0.0934988061587015,0.0515474714338778,0.1075999786456425,11.807114951312531,0.0133032279161195,0.0560525072117647,0.0129614899423134,0.0136504745460041,0.0127521428556842,0.0125943124294281,3,0.2
dose_2,0.647,0.246,6Oclock,0.1481537263432834,0.1511886740724245,0.0939070532719293,0.1702306667963663,19.408138150970128,0.0150982180616635,0.076323613524437,0.0457306018381646,0.0455624670606105,0.0482416622738801,0.0473418682813644,3,0.2
dose_3,1.095,0.338,12Oclock,0.099943853260679,0.103002925713857,0.0569349601864814,0.1217326447367668,13.092644777148951,0.0151549584682641,0.0647976845502854,0.0273621466483328,0.0283844794113502,0.0061133579272804,0.0050166770815849,3,0.2
dose_3,1.095,0.338,6Oclock,0.1119634540841627,0.1148250599702199,0.0659907050430774,0.1323726698756217,14.667212485025315,0.0140121921323855,0.0663819648325443,0.0365112309475942,0.0373658934791478,0.0331221289989602,0.0329682603478432,3,0.2
dose_4,1.692,0.584,12Oclock,0.1088031886510417,0.1132587517301241,0.061086078484853,0.1331416517496108,14.25321771328647,0.0179038443402728,0.0720555732647577,0.003732643319288,0.0038989448376925,0.0035312393580683,0.0025157555937767,3,0.2
dose_4,1.692,0.584,6Oclock,0.1246175429956754,0.1288969491918881,0.0677431387205918,0.1482454488674799,16.324898132433486,0.0176624582345307,0.080502310146888,0.0190427350219876,0.019742571131168,0.0219907882900638,0.0220760256052017,3,0.2
dose_5,2.488,0.768,12Oclock,0.1802611488081116,0.1849070241053899,0.1161103943983713,0.2039079467455545,23.61421049386262,0.0184653643942225,0.0877975523471832,0.0204482389798319,0.0225731874327081,0.0275384746776281,0.0294929593801497,3,0.2
dose_5,2.488,0.768,6Oclock,0.1486951729078935,0.1527941475311914,0.0865230460961659,0.17340516547362,19.47906765093405,0.0179328917870173,0.0868821193774541,0.0120215965221155,0.0123887227312978,0.014644338941301,0.0145375877618788,3,0.2
dose_6,3.185,0.707,12Oclock,0.1692180727008947,0.173967570066452,0.1107361068328221,0.193224882086118,22.167567523817212,0.0182012748093534,0.0824887752532958,0.0050720464676898,0.0051133996024745,0.0077626764888071,0.0077946037054062,3,0.2
dose_6,3.185,0.707,6Oclock,0.1729716443037258,0.1769739836454391,0.1014136771361033,0.2037326693534851,22.65928540378808,0.0214038088594641,0.1023189922173818,0.0360155622464015,0.0357021988382579,0.0199736916381893,0.0211447030305861,3,0.2
