dose_id,kind,uva_mw_cm2,uvb_mw_cm2,mean_reflectance,median_reflectance,min_reflectance,max_reflectance,area_reflectance,std_reflectance,range_reflectance,mean_std,median_std,mean_mad,median_mad,samples,trim_fraction
dose_1,Sigma,0.0,0.0,0.1542845558251891,0.1572028050820032,0.1023112001518408,0.1733922387162844,20.211276813099772,0.01398296731244551,0.0710810385644436,0.03637912674635597,0.0355460920502664,0.022419466933786804,0.0226183916791471,3,0.2
dose_1,Delta,0.0,0.0,-0.025724038500670524,-0.0258779873450597,-0.0310228665669758,-0.0102809891104698,-3.3698490435878385,0.002516641646836305,0.020741877456506,0.07275825349271199,0.0710921841005328,0.044838933867573656,0.0452367833582943,3,0.2
dose_2,Sigma,0.647,0.246,0.11914218741329259,0.1224121923247972,0.0727272623529036,0.1388188103834787,15.60762655114133,0.01415333656044336,0.06609154803057511,0.023784994782435512,0.023786402278226,0.025013674198537585,0.0248726209114755,3,0.2
dose_2,Delta,0.647,0.246,-0.05802307785998163,-0.0582024951775868,-0.0628237128257751,-0.0423595818380515,-7.601023199657593,0.0029319584033203412,0.02046413098772361,0.04756998956487108,0.0475728045564521,0.050027348397075226,0.049745241822951,3,0.2
dose_3,Sigma,1.095,0.338,0.10595365367242086,0.1088333912193774,0.0614628326147794,0.1270526573061942,13.879928631087132,0.014561856837385893,0.06558982469141479,0.0228198514402338,0.0234643773846206,0.016884611510181457,0.0166211642064921,3,0.2
dose_3,Delta,1.095,0.338,-0.012019600823483646,-0.0115598465005556,-0.0179482276240984,-0.0049071212609608,-1.5745677078763576,0.0019590535595810253,0.013041106363137598,0.04563970288046766,0.0469287547692413,0.03376922302036297,0.0332423284129843,3,0.2
dose_4,Sigma,1.692,0.584,0.11671036582335861,0.1210316121578216,0.0644146086027224,0.1406935503085454,15.289057922859978,0.017759168735072606,0.07627894170582301,0.009751207686391847,0.0098756405230718,0.011202277455528818,0.0112078564968842,3,0.2
dose_4,Delta,1.692,0.584,-0.01581435434463365,-0.0157493874430657,-0.0204140370090802,-0.0060292830069859,-2.0716804191470084,0.0018622162740686346,0.014384754002094302,0.019502415372783743,0.0197512810461437,0.022404554911057688,0.0224157129937685,3,0.2
dose_5,Sigma,2.488,0.768,0.16447816085800257,0.1686853642265001,0.1013167202472686,0.1886565561095873,21.546639072398335,0.01817281655316175,0.0873398358623187,0.011973511902522747,0.0129460923006428,0.015726518672967878,0.0162292469992101,3,0.2
dose_5,Delta,2.488,0.768,0.031565975900218035,0.0317696407437324,0.0188408518830935,0.0394450277090072,4.135142842928563,0.0020276918437273487,0.0206041758259137,0.023947023805045542,0.0258921846012857,0.031453037345935804,0.0324584939984203,3,0.2
dose_6,Sigma,3.185,0.707,0.17109485850231027,0.175578994055589,0.1060748919844627,0.1984787757198016,22.413426463802644,0.019774457786817124,0.09240388373533891,0.0182267382798631,0.017947237989898,0.01101982010721741,0.01084971444186,3,0.2
dose_6,Delta,3.185,0.707,-0.0037535716028310154,-0.0032829890648524,-0.010507787267367,0.0124034335215886,-0.491717879970863,0.0038343387572967592,0.0229112207889556,0.03645347655972624,0.0358944759797961,0.02203964021443486,0.02169942888372,3,0.2
