treatment,kind,mean_reflectance,median_reflectance,min_reflectance,max_reflectance,area_reflectance,std_reflectance,range_reflectance,mean_std,median_std,mean_mad,median_mad,samples,trim_fraction
treatment_1,12Oclock,0.17428222241547284,0.1764830897251764,0.1107361068328221,0.2005083709955214,28.059437808891126,0.019571691578257226,0.0897722641626993,0.006642368433683837,0.0057140275568389,0.008270670677193902,0.0086062848567962,3,0.2
treatment_1,6Oclock,0.17939954078283857,0.1809766739606857,0.1014136771361033,0.2136960178613662,28.883326066037007,0.02357164654921898,0.11228234072526289,0.037479174431780844,0.0370026954700862,0.017895707339973872,0.0206942707300186,3,0.2
treatment_2,12Oclock,0.1850621441599004,0.1872905592123667,0.1161103943983713,0.2092438836892446,29.795005209743966,0.019473530004311755,0.0931334892908733,0.021339559458679155,0.0250397033554146,0.028971595747500436,0.0344110727310179,3,0.2
treatment_2,6Oclock,0.1537948838332918,0.1555965344111124,0.0865230460961659,0.1817826479673385,24.760976297159978,0.019419332455850837,0.0952596018711726,0.011249943554327641,0.0121734459367213,0.01440098516133997,0.0143462717533111,3,0.2
treatment_3,12Oclock,0.11384092151779311,0.1163815781474112,0.061086078484853,0.1395734598239262,18.32838836436469,0.019316078736148892,0.07848738133907318,0.0041419281211541896,0.004470095753793,0.00471960938310026,0.0034142062067984,3,0.2
treatment_3,6Oclock,0.1293662200232593,0.1319289952516555,0.0677431387205918,0.1536028881867726,20.827961423744746,0.01880649919985144,0.08585974946618079,0.019277830067135293,0.020030854672642,0.02274793525290041,0.0228474885225296,3,0.2
treatment_4,12Oclock,0.10436488772061787,0.1052687714497248,0.0569349601864814,0.1271894623835881,16.802746923019477,0.016536391109451102,0.07025450219710672,0.028231270808387762,0.0286002405636079,0.006050929913054297,0.005324587225914,3,0.2
treatment_4,6Oclock,0.11597374759568183,0.1173102085789044,0.0659907050430774,0.1375852674245834,18.671773362904773,0.015215289428073223,0.07159456238150601,0.037125009929653605,0.0376344748463757,0.03300124147663942,0.032788522541523,3,0.2
treatment_5,12Oclock,0.09358593406576046,0.0957798113425572,0.0515474714338778,0.1125186383724212,15.067335384587434,0.014048238409546662,0.060971166938543396,0.012770129740293125,0.0132600304740322,0.014109445747381362,0.0136162042617797,3,0.2
treatment_5,6Oclock,0.15279226929072753,0.1536031340559323,0.0939070532719293,0.17806339263916,24.599555355807134,0.016774653396258846,0.08415633936723069,0.04586297155984144,0.0456424200694464,0.04806342822794585,0.0472749024629593,3,0.2
treatment_6,12Oclock,0.14533846166686729,0.14678322772185,0.0916011234124501,0.1661111960808435,23.399492328365632,0.01508199707790945,0.07451007266839339,0.00868949622448738,0.0088056810555227,0.004251258528750831,0.0035192817449569,3,0.2
treatment_6,6Oclock,0.17078929434590204,0.1724782362580299,0.1130212768912315,0.1903671870628992,27.49707638969023,0.014863174809237822,0.07734591017166771,0.07184926335726159,0.0703858618006532,0.04407955763965657,0.0447157472372054,3,0.2
