treatment,kind,mean_reflectance,median_reflectance,min_reflectance,max_reflectance,area_reflectance,std_reflectance,range_reflectance,mean_std,median_std,mean_mad,median_mad,samples,trim_fraction
treatment_1,Sigma,0.1768408815991557,0.178729881842931,0.1060748919844627,0.2071021944284438,28.471381937464066,0.02154711642273814,0.1010273024439811,0.01910827006639387,0.0186950027916428,0.01025098432672072,0.0107646923935398,3,0.2
treatment_1,Delta,-0.00511731836736568,-0.0044935842355092,-0.0131876468658448,0.0124034335215886,-0.8238882571458744,0.004498261887811411,0.0255910803874334,0.038216540132787795,0.0373900055832857,0.020501968653441484,0.0215293847870797,3,0.2
treatment_2,Sigma,0.16942851399659611,0.1713599761327107,0.1013167202472686,0.1955132658282915,27.277990753451974,0.019421348667732603,0.09419654558102292,0.012206295582027309,0.0132170630221408,0.01630834815197676,0.0184977758932466,3,0.2
treatment_2,Delta,0.031267260326608565,0.0315652092297871,0.0188408518830935,0.0394450277090072,5.034028912583979,0.0019754876422868424,0.0206041758259137,0.02441259116405467,0.0264341260442816,0.032616696303953564,0.0369955517864933,3,0.2
treatment_3,Sigma,0.1216035707705262,0.1241244499882062,0.0644146086027224,0.1464630489548047,19.57817489405472,0.019041546045195493,0.0820484403520823,0.009905089464237913,0.0101454904125497,0.011712319396610708,0.0115672450431228,3,0.2
treatment_3,Delta,-0.015525298505466127,-0.015469749768575,-0.0204140370090802,-0.0060292830069859,-2.4995730593800465,0.0018079592431892416,0.014384754002094302,0.019810178928475877,0.0202909808250994,0.02342463879322147,0.0231344900862456,3,0.2
treatment_4,Sigma,0.11016931765814984,0.1113548390567302,0.0614628326147794,0.1320515237748622,17.737260142962125,0.015858300325184593,0.0705886911600828,0.023327720706805246,0.0235606354714563,0.016812494038195628,0.0165852535333623,3,0.2
treatment_4,Delta,-0.011608859875063915,-0.0113230968515078,-0.0179482276240984,-0.0049071212609608,-1.8690264398852903,0.001992929952241564,0.013041106363137598,0.04665544141361054,0.0471212709429127,0.0336249880763913,0.0331705070667247,3,0.2
treatment_5,Sigma,0.12318910167824398,0.1246914726992447,0.0727272623529036,0.1448142727216084,19.833445370197282,0.015362425905355094,0.07208701036870481,0.023820485949719573,0.023819339564719,0.025137552285649456,0.0251919647703429,3,0.2
treatment_5,Delta,-0.05920633522496704,-0.0587583308418591,-0.0668458491563796,-0.0423595818380515,-9.532219971219693,0.0036698064202435117,0.024486267318328106,0.047640971899439194,0.047638679129438,0.050275104571298954,0.0503839295406859,3,0.2
treatment_6,Sigma,0.15806387800638466,0.159505055596431,0.1023112001518408,0.1782391915718714,25.44828435902793,0.014926486553002776,0.07592799142003061,0.036190810091215,0.0354888712255817,0.022191139028272203,0.0223867571824103,3,0.2
treatment_6,Delta,-0.02545083267903472,-0.0255130132039388,-0.0310228665669758,-0.0102809891104698,-4.09758406132459,0.002358219512295557,0.020741877456506,0.07238162018243004,0.0709777424511635,0.044382278056544454,0.0447735143648207,3,0.2
