sample_id,p_uva_mw_cm2,p_uvb_mw_cm2,dry_biomass_g,chrom_total_mg_ml,chrom_total_mg_per_gDW,chrom_oxidized_mg_ml,chrom_oxidized_mg_per_gDW,chrom_reduced_mg_ml,chrom_reduced_mg_per_gDW,dad_total_mg_ml,dad_total_mg_per_gDW,dad_oxidized_mg_ml,dad_oxidized_mg_per_gDW,dad_reduced_mg_ml,dad_reduced_mg_per_gDW
1D,3.185,0.707,0.06,0.0596860961313957,0.9947682688565952,0.02214567689442471,0.3690946149070785,0.1298097030020263,2.1634950500337715,0.1136753245322129,1.8945887422035488,0.0499708839627223,0.8328480660453716,0.1547867546086958,2.579779243478263
1F,3.185,0.707,0.094,0.0776043573092569,0.8255782692474143,0.05177831927982599,0.5508331838279361,0.12571771182160849,1.3374224661873244,0.1516043511670099,1.6128122464575525,0.0972309249655724,1.0343715421869404,0.1937643569248731,2.0613229460092883
1G,3.185,0.707,0.081,0.0585900898138766,0.723334442146625,0.058358444042008996,0.7204746178025802,0.059238277217132276,0.7313367557670651,0.101040394759984,1.2474122809874568,0.0895723098211282,1.105830985446027,0.0889002132971513,1.097533497495695
1I,3.185,0.707,0.074,0.0293800793384175,0.3970280991678045,0.01924203123594463,0.2600274491343869,0.048792390183703904,0.6593566241041069,0.0526099786325797,0.710945657197023,0.0260009606080528,0.351364332541254,0.0756731759652851,1.022610486017366
1J,3.185,0.707,0.08,0.0756142405748144,0.94517800718518,0.008576929691869496,0.1072116211483687,0.2005045054054254,2.5063063175678173,0.2022128218641598,2.5276602733019975,0.0343196586451582,0.4289957330644775,0.3609409563912697,4.511761954890871
2B,2.488,0.768,0.08,0.1010314923462272,1.2628936543278404,0.01639358796640903,0.2049198495801129,0.2584298277935508,3.230372847419385,0.2005877221316732,2.507346526645915,0.0421378301508574,0.5267228768857175,0.3561416653723679,4.451770817154599
2E,2.488,0.768,0.073,0.0568523429551786,0.7787992185640907,0.048057678264967485,0.6583243597940752,0.0734677138847158,1.0064070395166549,0.1043232501073408,1.429085617908778,0.0648530398020684,0.8883978055077864,0.1128550900838586,1.5459601381350494
2G,2.488,0.768,0.081,0.0399507718481739,0.4932194055330111,0.02982984943549747,0.3682697461172527,0.05921771444738143,0.7310828944121164,0.0650865171915003,0.8035372492777815,0.0382903481259542,0.4727203472340024,0.0657198473341786,0.8113561399281308
2I,2.488,0.768,0.087,0.0558644951558357,0.6421206339751239,0.011105199105527059,0.1276459667301961,0.13947420478492262,1.6031517791370418,0.1010763773330887,1.1617974406102152,0.0089872827099702,0.1033021001146,0.1581505221597242,1.8178220937899336
2J,2.488,0.768,0.065,0.0650363374971796,1.0005590384181482,0.003708078986965639,0.0570473690302406,0.17940710364106022,2.760109286785542,0.1123161337519157,1.7279405192602415,0.0046325846322025,0.0712705328031153,0.1894180692255291,2.9141241419312167
3A,1.692,0.584,0.043,0.0418687829038322,0.9736926256705184,0.029575918446352833,0.6878120568919264,0.06516035490537513,1.5153570908226774,0.0735076160865711,1.7094794438737466,0.0402333008427287,0.9356581591332256,0.0821271187348748,1.9099329938342977
3C,1.692,0.584,0.074,0.079846843919444,1.0790114043168109,0.0812895164095494,1.0985069785074244,0.07714844967011676,1.04254661716374,0.15118500709177,2.0430406363752702,0.1234870711999388,1.6687442054045785,0.1217120941445599,1.6447580289805392
3D,1.692,0.584,0.069,0.0866608305645461,1.255954066152843,0.07401384154666585,1.072664370241534,0.11013113235046931,1.5961033673981058,0.1585019162340559,2.297129220783418,0.1138252976455952,1.6496419948636982,0.1517328102328532,2.1990262352587417
3E,1.692,0.584,0.08,0.0440031109958431,0.5500388874480391,0.005849931678011784,0.0731241459751473,0.11543632694618686,1.4429540868273356,0.102393090572683,1.2799136321585376,0.0213485412438091,0.2668567655476137,0.1574239736219293,1.9677996702741165
3H,1.692,0.584,0.052,0.0470099178011421,0.9040368807911956,0.002029926363053196,0.0390370454433307,0.13112572026608027,2.5216484666553898,0.0925328471672652,1.7794778301397156,0.002097616782684,0.0403387842823846,0.1667509421249174,3.206748887017642
4A,1.095,0.338,0.07,0.0364031724519937,0.5200453207427675,0.004105536187365949,0.0586505169623707,0.09701208524943133,1.3858869321347331,0.0913339938275009,1.30477134039287,0.0211017956141088,0.3014542230586971,0.1254680405444701,1.7924005792067157
4B,1.095,0.338,0.071,0.0615464226440267,0.8668510231553068,0.051480226379525755,0.7250736109792361,0.08047961836975337,1.1335157516866672,0.1103959316588718,1.5548722768855183,0.0637071022273118,0.8972831299621381,0.1176162185766198,1.6565664588256312
4F,1.095,0.338,0.08,0.0647046513747725,0.8088081421846567,0.0615491421230004,0.769364276537505,0.07073286550785365,0.8841608188481707,0.1293926935087699,1.6174086688596236,0.0944244828059066,1.1803060350738324,0.1258939531818909,1.573674414773636
4G,1.095,0.338,0.062,0.0643152807093381,1.0373432372473892,0.06407741153665795,1.0335066376880315,0.06491360166836502,1.04699357529621,0.1191245344554191,1.9213634589583728,0.0905462139496627,1.4604228056397208,0.1035914902199559,1.6708304874186437
4H,1.095,0.338,0.07,0.0395614011827395,0.5651628740391357,0.009736179859703754,0.1390882837100536,0.0955315658273706,1.3647366546767228,0.0872362802978903,1.246232575684147,0.01437978863699,0.205425551957,0.1354751029546672,1.9353586136381025
5B,0.647,0.246,0.068,0.0489207182889221,0.7194223277782666,0.016603357044398095,0.2441670153587955,0.10943199817894064,1.609294090866774,0.1037753645130852,1.5261083016630177,0.0248861706478166,0.3659730977620088,0.155454598816156,2.2860970414140587
